Zeit,Produktionskosten [EUR/t],Szenario
1,240.0,0
2,540.0,0
3,660.0,0
4,900.0,0
5,600.0,0
6,1060.0,0
7,960.0,0
8,1120.0,0
9,740.0,0
10,1380.0,0
11,1380.0,0
12,1120.0,0
13,1420.0,0
14,800.0,0
15,1180.0,0
16,960.0,0
17,1040.0,0
18,640.0,0
19,960.0,0
20,760.0,0
21,900.0,0
22,660.0,0
23,1000.0,0
24,700.0,0
25,460.0,0
26,100.0,0
27,240.0,0
28,340.0,0
29,740.0,0
30,220.0,0
31,340.0,0
32,360.0,0
33,720.0,0
34,220.0,0
35,840.0,0
36,680.0,0
37,780.0,0
38,420.0,0
39,800.0,0
40,720.0,0
41,800.0,0
42,480.0,0
43,920.0,0
44,740.0,0
1,236.09571774150868,1
2,536.9469339436639,1
3,698.2049792809121,1
4,895.7955233823841,1
5,619.7203998826692,1
6,1072.032081140579,1
7,967.309332023258,1
8,1136.1286042710842,1
9,713.8451168802096,1
10,1447.8175953776115,1
11,1318.0499311737995,1
12,1106.7700555508977,1
13,1365.5499707751549,1
14,807.4549169810114,1
15,1118.963694215648,1
16,997.2474915349634,1
17,1040.3273677521272,1
18,636.6795097872775,1
19,944.223555932076,1
20,755.9834164814262,1
21,920.8514945358863,1
22,644.094656416084,1
23,994.1267337063655,1
24,674.096939669645,1
25,456.0975641266051,1
26,92.32147116288023,1
27,253.42850005559316,1
28,329.9393433957689,1
29,738.3117998641303,1
30,257.792901722981,1
31,340.0202254082989,1
32,350.86972441312105,1
33,704.4174393096594,1
34,251.21671852219055,1
35,834.9192307802707,1
36,675.2599220838375,1
37,808.4536644545922,1
38,424.31425425520746,1
39,834.8179290650315,1
40,700.8783919284144,1
41,783.7748375620788,1
42,492.50686700342015,1
43,900.7669260413808,1
44,773.5377595875108,1
1,239.57934371047364,2
2,562.4431543954739,2
3,702.4887886512503,2
4,919.3792708470662,2
5,592.5491543737172,2
6,1061.1346579020467,2
7,969.3194683228163,2
8,1134.1991033033694,2
9,687.1979211531693,2
10,1445.8991864859902,2
11,1303.1181801037037,2
12,1104.7247411501596,2
13,1363.5294528723357,2
14,836.8907731580623,2
15,1080.5133671284827,2
16,945.4958673337557,2
17,1062.3103929292708,2
18,688.0234674423624,2
19,917.4009799156643,2
20,756.2052254958822,2
21,955.5943591195814,2
22,639.5831778092423,2
23,1035.9023277743484,2
24,685.126307796829,2
25,444.3134398179467,2
26,93.15465520440553,2
27,235.8325940371633,2
28,327.2055690460241,2
29,760.1591764612316,2
30,288.3782432313965,2
31,360.1804317861972,2
32,337.3582245868805,2
33,686.8643197026922,2
34,219.61119836742472,2
35,802.0004794982373,2
36,673.707915369975,2
37,790.2380191671383,2
38,385.80860315562813,2
39,879.6379405740977,2
40,717.9016825358882,2
41,790.7437305390755,2
42,497.05339767288615,2
43,860.5646625973479,2
44,796.419974540813,2
1,246.09440677428304,3
2,588.5614174093457,3
3,684.2984752839982,3
4,871.5323693611359,3
5,601.5300830723409,3
6,1089.9691152631835,3
7,950.5626813038348,3
8,1136.6137510293763,3
9,721.1071856014272,3
10,1461.131861575274,3
11,1308.6925162229895,3
12,1088.8063913017743,3
13,1373.0617107988642,3
14,806.7358031673064,3
15,1056.3385698566012,3
16,895.1901529831312,3
17,1071.9692518728584,3
18,671.491428646065,3
19,888.6648182212342,3
20,770.6697556412122,3
21,947.0280579683811,3
22,626.1779514502855,3
23,1064.453417785995,3
24,658.7268995750915,3
25,427.6505998459291,3
26,66.04858394373449,3
27,250.1970050288648,3
28,338.937493272083,3
29,756.1584426125827,3
30,288.2941315426216,3
31,407.08585173119207,3
32,352.4323283951879,3
33,724.9226774915089,3
34,206.28677616854486,3
35,770.8722384330224,3
36,703.1153352561745,3
37,786.9268661022462,3
38,390.68135138370184,3
39,868.4012052717081,3
40,721.7305254924254,3
41,796.5738697926744,3
42,472.74290113049034,3
43,850.4983980902805,3
44,840.9095429797085,3
1,236.84101436152795,4
2,578.75727312815,4
3,665.53954721107,4
4,914.0667974187503,4
5,593.0302959572443,4
6,1096.839771093763,4
7,991.2234123973479,4
8,1160.2632297275138,4
9,693.4080886045733,4
10,1464.7434988897044,4
11,1262.5687236247134,4
12,1101.2906610294492,4
13,1417.8722492361123,4
14,809.070991438647,4
15,1048.070861997263,4
16,920.7742727362111,4
17,1089.4731602259055,4
18,687.0202787993595,4
19,901.9785399880377,4
20,796.2745217779257,4
21,900.5279734128926,4
22,648.299103496971,4
23,991.4439769026295,4
24,626.9813163772263,4
25,449.3279346005677,4
26,81.37909821648606,4
27,266.7951420826335,4
28,379.5006188068097,4
29,721.3478111239729,4
30,268.1098341541325,4
31,448.4019412463872,4
32,338.9385059230121,4
33,749.5985288825482,4
34,203.96402486724375,4
35,723.357977131145,4
36,663.7475006839053,4
37,775.7011341808555,4
38,419.9172710135063,4
39,866.8257227251145,4
40,737.7741313673226,4
41,784.8168461895491,4
42,458.7674789753667,4
43,859.637337763727,4
44,823.5104687663414,4
1,195.23551429185446,5
2,540.4908579314147,5
3,626.9803297545451,5
4,907.9737147965633,5
5,592.6961400032459,5
6,1091.5286760730799,5
7,987.5771787888834,5
8,1153.9040086489376,5
